geo_id,geo_name,geo_type,sample_size,vulnerability_rate,median_gap,coverage_pct
06073005900,06073005900,tract,2102,47.621313035204565,-5238.690000000002,105.94480195362625
06073006000,06073006000,tract,2678,34.39133681852128,-46953.37,160.3753101206784
06073006100,06073006100,tract,1032,34.883720930232556,-37890.18000000001,151.75024622577953
06073006500,06073006500,tract,1653,53.055051421657595,5815.940000000002,92.58203437833136
06073006600,06073006600,tract,477,59.11949685534591,14356.089999999997,87.6046176533604
06073006801,06073006801,tract,1569,41.23645634161887,-18419.42,123.90703309934273
06073006802,06073006802,tract,2598,37.91377983063896,-27394.179999999993,134.52919179739985
06073006900,06073006900,tract,2202,26.88465031789282,-57095.045,163.7071819160662
06073007002,06073007002,tract,1251,23.980815347721823,-91285.49,196.53641461471818
06073007100,06073007100,tract,2104,35.97908745247148,-61107.155,177.04859014714992
06073007200,06073007200,tract,1587,21.80214240705734,-87698.01,194.20426630898652
06073007302,06073007302,tract,986,30.52738336713996,-85118.85,184.3595196721226
06073007303,06073007303,tract,918,33.769063180827885,-31333.129999999994,139.66002329056758
06073007304,06073007304,tract,2063,36.79108095007271,-29416.11,138.00294624450373
06073007401,06073007401,tract,1438,37.89986091794159,-24004.4,126.89369977512315
06073007402,06073007402,tract,1706,35.8147713950762,-36361.59,145.0284666888642
06073007501,06073007501,tract,2072,39.575289575289574,-21239.269999999997,129.31305518255436
06073007502,06073007502,tract,1681,37.71564544913742,-22596.5,132.17069631465426
06073007601,06073007601,tract,975,36.61538461538461,-32178.949999999997,141.28885981557357
06073007602,06073007602,tract,1051,27.497621313035204,-61957.84,183.01398569133
06073007701,06073007701,tract,2007,32.23716990533134,-36905.34,145.66701901906347
06073007702,06073007702,tract,1830,40.21857923497268,-40668.57000000001,148.3012474248441
06073007800,06073007800,tract,2743,40.758293838862556,-21251.769999999997,124.73853517461619
06073007905,06073007905,tract,1424,28.30056179775281,-37741.14,152.77348148540787
06073007907,06073007907,tract,1663,32.110643415514126,-27869.989999999998,138.0724929918082
06073007908,06073007908,tract,1657,38.56366928183464,-16743.740000000005,122.06373305184151
06073007910,06073007910,tract,1625,38.70769230769231,-24881.29,132.28727959411071
06073007911,06073007911,tract,1380,30.144927536231886,-49301.83,159.83355037465384
06073007912,06073007912,tract,923,27.085590465872155,-41839.619999999995,152.411313382423
06073008002,06073008002,tract,1028,25.0,-87540.07,185.3277549860811
06073008003,06073008003,tract,1887,16.216216216216218,-90285.54000000001,209.57575106034278
06073008006,06073008006,tract,1872,23.931623931623932,-60112.975,172.6081697966805
06073008101,06073008101,tract,1760,36.42045454545455,-36742.32000000001,144.5893568334402
06073008102,06073008102,tract,1391,21.423436376707407,-102277.38,204.24350911773632
06073008201,06073008201,tract,949,31.401475237091674,-63064.41,182.3176356618455
06073008202,06073008202,tract,658,33.73860182370821,-41871.229999999996,153.9575303723853
06073008301,06073008301,tract,1347,21.974758723088346,-99900.20000000001,199.18189689608334
06073008303,06073008303,tract,1340,23.955223880597014,-115316.70999999999,219.26930362142875
06073008305,06073008305,tract,469,76.54584221748401,33266.94,57.22806814798811
06073008306,06073008306,tract,1088,26.286764705882355,-82079.68,168.63242555872046
06073008307,06073008307,tract,1665,44.02402402402402,-13448.080000000002,112.85468395616014
06073008310,06073008310,tract,2459,28.22285481903213,-73123.27,169.81613268360093
06073008311,06073008311,tract,1088,13.970588235294118,-124878.07999999999,232.63394297383496
06073008312,06073008312,tract,1678,33.373063170441,-37001.17999999999,142.25570646622083
06073008313,06073008313,tract,808,25.247524752475247,-97031.455,185.17831141690996
06073008324,06073008324,tract,2939,21.265736645117386,-82581.9,171.9224920590801
06073008327,06073008327,tract,2411,32.64205723766072,-72217.58,157.31671954968002
06073008328,06073008328,tract,2581,26.695079426578843,-115998.76000000001,182.30911526426803
06073008330,06073008330,tract,1921,42.894325871941696,-29602.26000000001,123.31860206799503
06073008331,06073008331,tract,947,20.908130939809926,-111416.93,187.73831614788082
06073008336,06073008336,tract,752,20.079787234042552,-100002.47,206.32082351852662
06073008337,06073008337,tract,1522,24.244415243101184,-59617.259999999995,158.11033927703798
06073008339,06073008339,tract,770,53.5064935064935,11548.470000000001,89.71114053352532
06073008343,06073008343,tract,1797,52.3650528658876,5588.399999999994,94.14658425658433
06073008344,06073008344,tract,1189,27.417998317914215,-75417.95000000001,164.28161568689183
06073008345,06073008345,tract,1879,53.80521554018095,8822.899999999994,91.41548580669696
06073008346,06073008346,tract,1605,26.853582554517136,-70292.46,170.64963683534236
06073008347,06073008347,tract,2000,38.45,-31116.990000000005,130.39007141689643
06073008348,06073008348,tract,1715,31.253644314868804,-45989.92,143.84645115170264
06073008349,06073008349,tract,1104,39.221014492753625,-21494.475,122.48423276645259
06073008350,06073008350,tract,2217,35.859269282814616,-33407.649999999994,136.43095743216477
06073008351,06073008351,tract,1414,44.48373408769448,-11252.630000000005,111.17144412816677
06073008352,06073008352,tract,974,47.43326488706365,-3616.225000000006,103.45214823682096
06073008353,06073008353,tract,1526,32.56880733944954,-40905.100000000006,135.80646166675587
06073008355,06073008355,tract,971,38.61997940267765,-26821.160000000003,122.55918967326565
06073008356,06073008356,tract,1367,38.18580833942941,-24119.540000000008,122.28101482365975
06073008357,06073008357,tract,1552,44.20103092783505,-8989.279999999999,109.92047220910833
06073008358,06073008358,tract,1948,51.28336755646817,3132.1900000000023,96.74350167839569
06073008359,06073008359,tract,1823,46.516730663741086,-5572.809999999998,106.55459391099068
06073008360,06073008360,tract,2417,46.793545717832025,-4931.970000000001,105.5581623984072
06073008361,06073008361,tract,1558,37.09884467265726,-35082.58,143.32202292694478
06073008362,06073008362,tract,1581,30.29728020240354,-40892.990000000005,149.54863632469784
06073008363,06073008363,tract,1962,61.773700305810394,29130.75,71.72033861791782
06073008364,06073008364,tract,2301,41.63407214254672,-13564.289999999994,116.30158433189554
06073008365,06073008365,tract,930,22.688172043010752,-119597.125,217.52063848160992
06073008366,06073008366,tract,2413,17.6958143389971,-105344.98000000001,200.7005961225357
06073008367,06073008367,tract,1234,43.19286871961102,-23958.14,123.70434454171702
06073008368,06073008368,tract,1849,20.930232558139537,-108937.68,192.51005123837984
06073008369,06073008369,tract,2121,29.655822725129653,-50715.39,150.31221617427167
06073008370,06073008370,tract,1605,31.464174454828658,-38721.95000000001,139.98598736592513
06073008371,06073008371,tract,1683,27.332144979203804,-96892.12,179.60840617032224
06073008372,06073008372,tract,1352,28.3284023668639,-94534.905,169.50089677363076
06073008373,06073008373,tract,1281,28.18110850897736,-85379.7,172.89648779524876
06073008374,06073008374,tract,1223,18.47914963205233,-119874.60999999999,184.90505944034834
06073008375,06073008375,tract,2192,38.41240875912409,-34767.7,138.46802977919776
06073008376,06073008376,tract,2845,35.85237258347979,-22406.089999999997,124.51555973013286
06073008377,06073008377,tract,1027,53.06718597857838,10419.279999999999,89.3309196844855
06073008378,06073008378,tract,391,58.82352941176471,15161.529999999999,81.85075208223203
06073008379,06073008379,tract,1976,51.06275303643725,3342.760000000002,96.04020974542324
06073008380,06073008380,tract,2937,42.1518556350017,-13869.61,115.74844416036744
06073008381,06073008381,tract,1021,25.56317335945152,-80601.54999999999,170.0946111811465
06073008501,06073008501,tract,2168,35.56273062730627,-30047.275,131.90354590262552
06073008502,06073008502,tract,2561,43.38149160484186,-13172.830000000002,116.60153457422024
06073008503,06073008503,tract,3120,37.59615384615385,-25158.270000000004,130.04729917264473
06073008504,06073008504,tract,2300,35.608695652173914,-32371.100000000006,134.5553401911119
06073008505,06073008505,tract,2055,49.1970802919708,-1658.4900000000052,101.14522872787606
06073008506,06073008506,tract,1591,32.49528598365808,-30231.5,135.72189316599204
06073008507,06073008507,tract,2463,47.706049533089725,-3820.350000000006,104.57176818044951
06073008509,06073008509,tract,2759,36.86118158753172,-23837.83,128.7460686709172
06073008510,06073008510,tract,2661,48.515595640736564,-4618.020000000004,106.18184174178862
06073008511,06073008511,tract,2680,23.80597014925373,-44402.55,154.71093833266306
06073008512,06073008512,tract,1567,30.695596681557113,-43165.990000000005,151.74649365350845
06073008513,06073008513,tract,1163,23.903697334479794,-50983.64,158.2729711188841
06073008600,06073008600,tract,2257,62.029242357111215,13625.309999999998,80.15898900283943
06073008701,06073008701,tract,1201,50.707743547044124,1402.0299999999988,98.93605489278822
06073008702,06073008702,tract,1667,41.991601679664065,-17216.660000000003,115.53593024403723
06073008800,06073008800,tract,2008,55.52788844621514,10695.764999999996,86.79121409813122
06073008901,06073008901,tract,2571,46.12991054064566,-6233.080000000002,108.36211007806666
06073008902,06073008902,tract,2154,35.97957288765088,-23241.58,127.78487106984271
